Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","decreto_lei_3689_19411003, Art. 10., § 1º",184,185,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] A autoridade fará minucioso relatório do que tiver sido apurado e enviará os autos ao juiz competente.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art10_par1
"PAR","decreto_lei_3689_19411003, Art. 10., § 2º",186,187,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] No relatório poderá a autoridade indicar testemunhas que não tiverem sido inquiridas, mencionando o lugar onde possam ser encontradas.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art10_par2
"PAR","decreto_lei_3689_19411003, Art. 10., § 3º",188,189,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Quando o fato for de difícil elucidação, e o indiciado estiver solto, a autoridade poderá requerer ao juiz a devolução dos autos, para ulteriores diligências, que serão realizadas no prazo marcado pelo juiz.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art10_par3
"CPT","decreto_lei_3689_19411003, Art. 11., caput",192,193,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Os instrumentos do crime, bem como os objetos que interessarem à prova, acompanharão os autos do inquérito.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art11_cpt
"CPT","decreto_lei_3689_19411003, Art. 12., caput",196,197,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] O inquérito policial acompanhará a denúncia ou queixa, sempre que servir de base a uma ou outra.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art12_cpt
"CPT","decreto_lei_3689_19411003, Art. 13., caput",200,209,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Incumbirá ainda à autoridade policial: fornecer às autoridades judiciárias as informações necessárias à instrução e julgamento dos processos; realizar as diligências requisitadas pelo juiz ou pelo Ministério Público; cumprir os mandados de prisão expedidos pelas autoridades judiciárias; representar acerca da prisão preventiva.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art13_cpt
"CPT","decreto_lei_3689_19411003, Art. 13-A., caput",212,213,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Nos crimes previstos nos arts. 148, 149 e 149-A, no § 3º do art. 158 e no art. 159 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e no art. 239 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), o membro do Ministério Público ou o delegado de polícia poderá requisitar, de quaisquer órgãos do poder público ou de empresas da iniciativa privada, dados e informações cadastrais da vítima ou de suspeitos.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art13-1_cpt
"PAR","decreto_lei_3689_19411003, Art. 13-A., Parágrafo único.",214,221,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] A requisição, que será atendida no prazo de 24 (vinte e quatro) horas, conterá: o nome da autoridade requisitante; o número do inquérito policial; e a identificação da unidade de polícia judiciária responsável pela investigação. (Artigo acrescido pela Lei nº 13.344, de 6.10.2016, publicada no DOU de 7.10.2016, em vigor 45 dias após a publicação)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art13-1_par1u
"CPT","decreto_lei_3689_19411003, Art. 13-B., caput",224,225,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Se necessário à prevenção e à repressão dos crimes relacionados ao tráfico de pessoas, o membro do Ministério Público ou o delegado de polícia poderão requisitar, mediante autorização judicial, às empresas prestadoras de serviço de telecomunicações e/ou telemática que disponibilizem imediatamente os meios técnicos adequados - como sinais, informações e outros - que permitam a localização da vítima ou dos suspeitos do delito em curso.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art13-2_cpt
"PAR","decreto_lei_3689_19411003, Art. 13-B., § 1º",226,227,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Para os efeitos deste artigo, sinal significa posicionamento da estação de cobertura, setorização e intensidade de radiofrequência.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art13-2_par1
