Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","decreto_lei_2848_19401207, Art. 20., § 1º",160,161,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] É isento de pena quem, por erro plenamente justificado pelas circunstâncias, supõe situação de fato que, se existisse, tornaria a ação legítima. Não há isenção de pena quando o erro deriva de culpa e o fato é punível como crime culposo.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art20_par1
"PAR","decreto_lei_2848_19401207, Art. 20., § 2º",162,163,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Responde pelo crime o terceiro que determina o erro.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art20_par2
"PAR","decreto_lei_2848_19401207, Art. 20., § 3º",164,165,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] O erro quanto à pessoa contra a qual o crime é praticado não isenta de pena. Não se consideram, neste caso, as condições ou qualidades da vítima, senão as da pessoa contra quem o agente queria praticar o crime. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art20_par3
"CPT","decreto_lei_2848_19401207, Art. 21., caput",168,169,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] O desconhecimento da lei é inescusável. O erro sobre a ilicitude do fato, se inevitável, isenta de pena; se evitável, poderá diminuí-la de um sexto a um terço.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art21_cpt
"PAR","decreto_lei_2848_19401207, Art. 21., Parágrafo único.",170,171,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Considera-se evitável o erro se o agente atua ou se omite sem a consciência da ilicitude do fato, quando lhe era possível, nas circunstâncias, ter ou atingir essa consciência. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art21_par1u
"CPT","decreto_lei_2848_19401207, Art. 22., caput",174,175,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Se o fato é cometido sob coação irresistível ou em estrita obediência a ordem, não manifestamente ilegal, de superior hierárquico, só é punível o autor da coação ou da ordem. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art22_cpt
"CPT","decreto_lei_2848_19401207, Art. 23., caput",178,185,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Não há crime quando o agente pratica o fato: em estado de necessidade; em legítima defesa; (Vide ADPF nº 779/2021) em estrito cumprimento de dever legal ou no exercício regular de direito.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art23_cpt
"PAR","decreto_lei_2848_19401207, Art. 23., Parágrafo único.",186,187,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] O agente, em qualquer das hipóteses deste artigo, responderá pelo excesso doloso ou culposo. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art23_par1u
"CPT","decreto_lei_2848_19401207, Art. 24., caput",190,191,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Considera-se em estado de necessidade quem pratica o fato para salvar de perigo atual, que não provocou por sua vontade, nem podia de outro modo evitar, direito próprio ou alheio, cujo sacrifício, nas circunstâncias, não era razoável exigir-se.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art24_cpt
"PAR","decreto_lei_2848_19401207, Art. 24., § 1º",192,193,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Não pode alegar estado de necessidade quem tinha o dever legal de enfrentar o perigo.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art24_par1
