Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","lei_4117_19620827, Art. 18., § 2º",171,172,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Serão nulas as deliberações de que participar, com voto decisivo, membro que tenha incorrido nas sanções deste artigo, incidindo o presidente, que houver admitido esse voto, em perda imediata de seu cargo.",urn:lex:br:federal:lei:1962-08-27;4117!art18_par2
"CPT","lei_4117_19620827, Art. 19., caput",175,176,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O presidente será substituído, em seus impedimentos, pelo vice presidente eleito pelo Conselho dentre seus membros.",urn:lex:br:federal:lei:1962-08-27;4117!art19_cpt
"PAR","lei_4117_19620827, Art. 19., Parágrafo único.",177,178,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O presidente tem voto de qualidade nas deliberações do Conselho.",urn:lex:br:federal:lei:1962-08-27;4117!art19_par1u
"CPT","lei_4117_19620827, Art. 20., caput",181,182,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Os membros do Conselho ao se empossarem, devem fazer prova de quitação do imposto sobre a renda, declaração de bens e rendas próprias, de suas esposas e dependentes, renovando-as em 30 de julho de cada ano.",urn:lex:br:federal:lei:1962-08-27;4117!art20_cpt
"PAR","lei_4117_19620827, Art. 20., § 1º",183,184,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Os documentos constantes, dessas declarações serão lacrados e arquivados.",urn:lex:br:federal:lei:1962-08-27;4117!art20_par1
"PAR","lei_4117_19620827, Art. 20., § 2º",185,186,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O exame desses documentos só será admitido por determinação do Presidente da República ou do Poder Judiciário.",urn:lex:br:federal:lei:1962-08-27;4117!art20_par2
"CPT","lei_4117_19620827, Art. 21., caput",189,190,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] (Artigo revogado pela Lei nº 5.535, de 20.11.1968)",urn:lex:br:federal:lei:1962-08-27;4117!art21_cpt
"CPT","lei_4117_19620827, Art. 22., caput",193,194,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] (Artigo revogado pela Lei nº 5.535, de 20.11.1968)",urn:lex:br:federal:lei:1962-08-27;4117!art22_cpt
"CPT","lei_4117_19620827, Art. 23., caput",197,198,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Nenhum membro do Conselho ou servidor, que no mesmo tenha exercício poderá fazer parte de qualquer empresa, companhia, sociedade ou firma, que tenha por objetivo comercial a telecomunicação, como diretor, técnico, consultor, advogado, perito, acionista, cotista, debenturista, sócio ou assalariado, nem tão pouco ter qualquer interesse direito ou indireto na manufatura ou venda de matéria aplicável a telecomunicação. (Expressão “como diretor, técnico, consultor, advogado, perito, acionista, cotista, debenturista, sócio ou assalariado, nem tão pouco ter qualquer interesse direito ou indireto na manufatura ou venda de matéria aplicável a telecomunicação” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art23_cpt
"PAR","lei_4117_19620827, Art. 23., § 1º",199,200,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] A infração deste artigo - devidamente comprovada, acarretará a perda imediata do mandato no Conselho.",urn:lex:br:federal:lei:1962-08-27;4117!art23_par1
