Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_2615_1998.anexo1, Art. 30., caput",189,198,"[ DA PROGRAMAÇÃO | ] As emissoras do RadCom atenderão, em sua programação, aos seguintes princípios: preferência a finalidades educativas, artísticas, culturais e informativas, em benefício do desenvolvimento geral da comunidade; promoção das atividades artísticas e jornalísticas na comunidade, e da integração dos membros da comunidade atendida; respeito aos valores éticos e sociais da pessoa e da família, favorecendo a integração dos membros da comunidade atendida; não discriminação de raça, religião, sexo, preferências sexuais, convicções político-ideológico-partidárias e condição social nas relações comunitárias.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art30_cpt
"PAR","decreto_2615_1998.anexo1, Art. 30., § 1º",199,200,"[ DA PROGRAMAÇÃO | ] É vedado o proselitismo de qualquer natureza na programação das emissoras de radiodifusão comunitária.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art30_par1
"PAR","decreto_2615_1998.anexo1, Art. 30., § 2º",201,202,"[ DA PROGRAMAÇÃO | ] As programações opinativa e informativa observarão os princípios da pluralidade de opinião e de versão simultânea em matérias polêmicas, divulgando sempre as diferentes interpretações relativas aos fatos noticiados.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art30_par2
"PAR","decreto_2615_1998.anexo1, Art. 30., § 3º",203,204,"[ DA PROGRAMAÇÃO | ] Qualquer cidadão da comunidade beneficiada terá direito a emitir opiniões sobre quaisquer assuntos abordados na programação da emissora, bem como manifestar idéias, propostas, sugestões, reclamações ou reivindicações, devendo observar apenas o momento adequado da programação para faze-lo, mediante pedido encaminhado à direção responsável pela rádio comunitária.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art30_par3
"CPT","decreto_2615_1998.anexo1, Art. 31., caput",207,208,"[ DA PROGRAMAÇÃO | ] As emissoras do RadCom assegurarão, em sua programação, espaço para divulgação de planos e realizações de entidades ligadas, por suas finalidades, ao desenvolvimento da comunidade.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art31_cpt
"CPT","decreto_2615_1998.anexo1, Art. 32., caput",211,212,"[ DA PROGRAMAÇÃO | ] As prestadoras do RadCom poderão admitir patrocínio, sob a forma de apoio cultural, para os programas a serem transmitidos, desde que restritos aos estabelecimentos situados na área da comunidade atendida.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art32_cpt
"CPT","decreto_2615_1998.anexo1, Art. 33., caput",215,216,"[ DA PROGRAMAÇÃO | ] É vedada a cessão ou arrendamento da emissora do RadCom ou de horários de sua programação.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art33_cpt
"CPT","decreto_2615_1998.anexo1, Art. 34., caput",221,222,"[ DA TRANSFERÊNCIA DA AUTORIZAÇÃO | ] É vedada a transferência da autorização para execução do RadCom, a qualquer título, nos termos do art. 12 da Lei n° 9.612, de 1998.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art34_cpt
"CPT","decreto_2615_1998.anexo1, Art. 35., caput",225,226,"[ DA TRANSFERÊNCIA DA AUTORIZAÇÃO | ] A entidade autorizada a executar o RadCom pode, sem anuência do Ministério das Comunicações, realizar alterações em seus atos constitutivos e modificar a composição de sua diretoria, desde que essas operações não impliquem alteração nos termos e condições inicialmente exigidos para a autorização, devendo apresentar ao Ministério das Comunicações os atos que caracterizam as alterações mencionadas, devidamente registrados ou averbados na repartição competente, para fins de registro e controle, no prazo de trinta dias contado de sua efetivação.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art35_cpt
"CPT","decreto_2615_1998.anexo1, Art. 36., caput",231,232,"[ DA RENOVAÇÃO DA AUTORIZAÇÃO | ] A autorização para execução do RadCom poderá ser renovada por um outro período de três anos, desde que a autorizada apresente solicitação neste sentido com antecedência de três a um mês do seu termo final e que cumpra as exigências estabelecidas para tanto pelo Ministério das Comunicações.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art36_cpt
"CPT","decreto_2615_1998.anexo1, Art. 37., caput",235,236,"[ DA RENOVAÇÃO DA AUTORIZAÇÃO | ] A renovação da autorização para execução do RadCom implicará pagamento de valor relativo às despesas decorrentes deste ato.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art37_cpt
"CPT","decreto_2615_1998.anexo1, Art. 38., caput",241,248,"[ DAS INFRAÇÕES E PENALIDADES | ] As penalidades aplicáveis em razão de infringência a qualquer dispositivo da Lei n° 9.612, de 1998, deste Regulamento e das normas aplicáveis ao RadCom são: advertência; multa; e na reincidência, revogação da autorização.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art38_cpt
"PAR","decreto_2615_1998.anexo1, Art. 38., § 1º",249,250,"[ DAS INFRAÇÕES E PENALIDADES | ] A pena de advertência poderá ser aplicada ao infrator primário quando incorrer em infração considerada de menor gravidade.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art38_par1
"PAR","decreto_2615_1998.anexo1, Art. 38., § 2º",251,252,"[ DAS INFRAÇÕES E PENALIDADES | ] Os valores das multas a serem aplicadas obedecerão aos critérios estabelecidos no art. 59 da Lei n° 4.117, de 1962, com a redação que lhe deu o art. 3° do Decreto-Lei n° 236, de 1967.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art38_par2
"CPT","decreto_2615_1998.anexo1, Art. 39., caput",255,256,"[ DAS INFRAÇÕES E PENALIDADES | ] Antes da aplicação de penalidades, a autorizada será notificada para exercer seu direito de defesa, conforme o estabelecido na Lei n° 4.117, de 1962, sem prejuízo da apreensão cautelar de que trata o parágrafo único do seu art. 70, com a redação que lhe deu o art. 3° do Decreto-Lei n° 236, de 1967.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art39_cpt
"CPT","decreto_2615_1998.anexo1, Art. 40., caput",259,314,"[ DAS INFRAÇÕES E PENALIDADES | ] São puníveis com multa as seguintes infrações na operação das emissoras do RadCom: transferência a terceiros dos direitos ou procedimentos de execução do Serviço; permanência fora de operação por mais de trinta dias sem motivo justificável; uso de equipamentos não certificados ou homologados pela ANATEL; manutenção pela autorizada, no seu quadro diretivo, de dirigente com residência fora da área da comunidade atendida; não manutenção do Conselho Comunitário, nos termos da Lei; estabelecimento ou manutenção de vínculos que subordinem a entidade ou a sujeitem à gerência, à administração, ao domínio, ao comando ou à orientação de qualquer outra entidade, mediante compromissos ou relações financeiras, religiosas, familiares, político-partidárias ou comerciais; não comunicação ao Ministério das Comunicações, no prazo de trinta dias, das alterações efetivadas nos atos constitutivos ou da mudança de sua diretoria; modificação dos termos e das condições inicialmente atendidos para a expedição do ato de autorização; não destinação de espaço na programação disponível à divulgação de planos e realizações de entidades ligadas, por suas finalidades, ao desenvolvimento da comunidade; formação de redes na exploração do RadCom; não integração a redes quando convocadas em situações de guerra, calamidade pública e epidemias; não integração a redes para as transmissões obrigatórias dos Poderes Executivo, Judiciário e Legislativo; cessão ou arrendamento da emissora ou de horários de sua programação; transmissão de patrocínio em desacordo com as normas legais pertinentes; transmissão de propaganda ou publicidade comercial a qualquer título; desvirtuamento das finalidades do RadCom e dos princípios fundamentais da programação; utilização de denominação de fantasia diversa da comunicada ao Ministério das Comunicações; imposição de dificuldades à fiscalização do Serviço; não manutenção em dia os registros da programação em texto e fitas, nos termos da regulamentação; uso de equipamentos fora das especificações constantes dos certificados emitidos pela ANATEL; não obediência ao tempo de funcionamento da estação comunicado ao Ministério das Comunicações; alteração das características constantes da Licença para Funcionamento de Estação, sem observância das formalidades estabelecidas; (Revogado pelo Decreto nº 8.061, de 2013) não observância do prazo estabelecido para início da execução do Serviço; utilização de freqüência diversa da autorizada; início da execução do Serviço pela autorizada sem estar previamente licenciada; (Revogado pelo Decreto nº 8.061, de 2013) não comunicação de alteração do horário de funcionamento; não cumprimento pela autorizada, no tempo estipulado, de exigência que lhe tenha sido feita pelo Ministério das Comunicações ou pela ANATEL.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art40_cpt
"CPT","decreto_2615_1998.anexo1, Art. 41., caput",319,326,"[ DA INTERRUPÇÃO DO SERVIÇO | ] A execução do RadCom será interrompida nos seguintes casos: de imediato, na ocorrência de interferências prejudiciais; no prazo estipulado pela ANATEL, na constatação de interferências indesejáveis, caso estas não tenham sido eliminadas; quando estiver configurada situação de perigo de vida.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art41_cpt
"CPT","decreto_2615_1998.anexo1, Art. 42., caput",331,332,"[ DAS DISPOSIÇÕES GERAIS | ] As entidades autorizadas a executar o RadCom estão sujeitas ao pagamento das taxas de fiscalização das telecomunicações previstas em lei.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art42_cpt
"CPT","decreto_2615_1998.anexo1, Art. 43., caput",335,336,"[ DAS DISPOSIÇÕES GERAIS | ] A entidade detentora de autorização para execução do RadCom não poderá estabelecer ou manter vínculos que a subordinem ou a sujeitem á gerência, à administração, ao domínio, ao comando ou à orientação de qualquer outra entidade, mediante compromissos ou relações financeiras, religiosas, familiares, político-partidárias ou comerciais.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art43_cpt
"ART","decreto_2615_1998.anexo1, Art. 1º",2,5,"[ DAS GENERALIDADES | ] Art. 1º Este Regulamento dispõe sobre o Serviço de Radiodifusão Comunitária - RadCom, instituído pela Lei n° 9.612, de 19 de fevereiro de 1998, como um Serviço de Radiodifusão Sonora, com baixa potência e com cobertura restrita, para ser executado por fundações e associações comunitárias, sem fins lucrativos, com sede na localidade de prestação do Serviço.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art1
"ART","decreto_2615_1998.anexo1, Art. 2º",6,9,"[ DAS GENERALIDADES | ] Art. 2º As condições para execução do RadCom subordinam-se ao disposto no art. 223 da Constituição Federal, à Lei n° 9.612, de 1998 e , no que couber, á Lei n° 4.117, de 27 de agosto de 1962, modificada pelo Decreto-Lei n° 236, de 28 de fevereiro de 1967; e à regulamentação do Serviço de Radiodifusão Sonora, bem como a este Regulamento, às normas complementares, aos tratados, aos acordos e aos atos internacionais.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art2
"ART","decreto_2615_1998.anexo1, Art. 3º",10,23,"[ DAS GENERALIDADES | ] Art. 3º O RadCom tem por finalidade o atendimento de determinada comunidade, com vistas a: I – dar oportunidade á difusão de idéias, elementos de cultura, tradições e hábitos sociais da comunidade; II – oferecer mecanismos à formação e integração da comunidade, estimulando o lazer, a cultura e o convívio social; III – prestar serviços de utilidade pública, integrando-se aos serviços de defesa civil, sempre que necessário; IV – contribuir para o aperfeiçoamento profissional nas áreas de atuação dos jornalistas e radialistas, de conformidade com a legislação profissional vigente; V – permitir a capacitação dos cidadãos no exercício do direito de expressão, da forma mais acessível possível.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art3
"ART","decreto_2615_1998.anexo1, Art. 4º",24,29,"[ DAS GENERALIDADES | ] Art. 4º A agência Nacional de Telecomunicações - ANATEL designará um único e específico canal na faixa de freqüências do Serviço de Radiodifusão Sonora em Freqüência Modulada, para atender, em âmbito nacional, ao Serviço de que trata este Regulamento. Parágrafo único. Em caso de manifesta impossibilidade técnica quanto ao uso desse canal em determinada região, a ANATEL indicará, em substituição, canal alternativo, para utilização exclusiva naquela região, desde que haja algum que atenda aos critérios de proteção dos canais previstos nos Planos Básicos de Distribuição de Canais de Radiodifusão Sonora em Freqüência Modulada, de Televisão em VHF e de Retransmissão de Televisão em VHF.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art4
"ART","decreto_2615_1998.anexo1, Art. 5º",30,33,"[ DAS GENERALIDADES | ] Art. 5º A potência efetiva irradiada por emissora do RadCom será igual ou inferior a vinte e cinco watts.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art5
"ART","decreto_2615_1998.anexo1, Art. 6º",34,37,"[ DAS GENERALIDADES | ] Art. 6º A cobertura restrita de uma emissora do RadCom é a área limitada por um raio igual ou inferior a mil metros a partir da antena transmissora, destinada ao atendimento de determinada comunidade de um bairro, uma vila ou uma localidade de pequeno porte.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art6
"ART","decreto_2615_1998.anexo1, Art. 7º",38,41,"[ DAS GENERALIDADES | ] Art. 7º O Ministério das Comunicações estabelecerá, no comunicado de habilitação de que trata o § 1° do art.9° da Lei n° 9.612, de 1998, o valor da taxa relativa ao cadastramento da emissora, bem como as condições de seu pagamento.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art7
